"","Genre","Title","Artist","URI","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"1","country","Meant To Be","Bebe Rexha & Florida Georgia Line","7iDa6hUg2VgEL1o1HjmfBn",0.643,0.783,10,-6.458,0.0856,0.047,0,0.083,0.579,154.084,4
"2","country","Heaven","Kane Brown","1HXy5I3HTWq8OvxCn0z7G7",0.677,0.556,9,-6.544,0.0306,0.263,0,0.105,0.521,80.009,4
"3","country","Tequila","Dan + Shay","42fw0rxRO2xbesF6mJfd4Y",0.489,0.581,11,-5.731,0.0281,0.0312,0,0.132,0.494,86.016,4
"4","country","You Make It Easy","Jason Aldean","6EGAfJaLUFzhS4zRBIEQ2J",0.375,0.574,7,-5.305,0.0315,0.143,0,0.11,0.406,132.025,3
"5","country","Marry Me","Thomas Rhett","0OWZFobGSIW9GrSlQ9C5pc",0.333,0.412,3,-8.633,0.029,0.0977,0,0.113,0.474,85.028,4
"6","country","One Number Away","Luke Combs","4gB7HrYHbJVJ5RFOjxmoq4",0.544,0.781,6,-6.16,0.0311,0.00585,0,0.191,0.527,144.075,4
"7","country","Simple","Florida Georgia Line","4L9Ds4mpD3SuYoWwFUlv16",0.362,0.882,3,-3.717,0.0973,0.0791,0,0.15,0.864,199.811,4
"8","country","Get Along","Kenny Chesney","6n6OQfBpCgzF9oEg8zhBN7",0.632,0.804,7,-6.109,0.0503,0.101,0,0.17,0.35,92.456,4
"9","country","Mercy","Brett Young","2VIPU72L6tIR4w8J8ap6Kp",0.638,0.367,4,-7.906,0.0266,0.84,0,0.0999,0.219,71.957,4
"10","country","Up Down","Morgan Wallen Featuring Florida Georgia Line","3EWMoDIm6lzuR0zQKtuCJX",0.589,0.882,6,-3.039,0.035,0.0813,0,0.146,0.793,129.915,4
"11","country","Most People Are Good","Luke Bryan","79LAFAkR1ATb4iIQvZuCL0",0.586,0.732,8,-6.171,0.0279,0.176,0,0.148,0.582,150.109,4
